DR Number,Address,Cross Street,Location 
130614459,THRASHER,BLUE JAY                     WY,"(34.0976, -118.3869)"
130614465,THRASHER,BLUE JAY                     WY,"(34.0976, -118.3869)"
130614470,ORANGE                       AV,HOLLYWOOD                    BL,"(34.1016, -118.3414)"
130614477,ORANGE                       DR,HOLLYWOOD                    BL,"(34.1016, -118.3414)"
130614519,LEXINGTON,VINE,"(34.0926, -118.3266)"
130614547,MELROSE,EL CENTRO,"(34.0835, -118.3244)"
130614575,HOLLYWOOD                    BL,HIGHLAND,"(34.1016, -118.3387)"
130614611,HARVARD,LEMON GROVE,"(34.0863, -118.3039)"
130614745,VINE                         AV,WILLOUGHBY,"(34.0871, -118.3266)"
130614828,HOLLYWOOD                    BL,CAHUENGA,"(34.1016, -118.3295)"
130614842,HOLLYWOOD                    BL,VINE                         ST,"(34.1016, -118.3267)"
130614861,DE LONGPRE                   AV,N  KINGSLEY                     DR,"(34.0967, -118.3031)"
130614889,WESTERN,CARLTON,"(34.1005, -118.3093)"
130614898,WESTERN                      AV,CARLTON,"(34.1005, -118.3093)"
130614903,HIGHLAND                     AV,FRANKLIN                     AV,"(34.1052, -118.3375)"
130614910,HOLLYWOOD                    BL,CHEROKEE,"(34.1016, -118.3348)"
130614966,VINE                         ST,LEXINGTON                    AV,"(34.0926, -118.3266)"
130615050,FAIRFAX                      AV,HOLLYWOOD                    BL,"(34.1024, -118.3616)"
130615077,DE LONGPRE,CURSON,"(34.0962, -118.355)"
130615140,CHEROKEE                     AV,FOUNTAIN                     AV,"(34.0944, -118.3353)"
130615171,GORDON                       ST,CARLTON                      WY,"(34.1005, -118.3196)"
130615205,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130615208,ODIN,HIGHLAND,"(34.11, -118.3361)"
130615266,HOLLYWOOD                    BL,CAHUENGA,"(34.1016, -118.3295)"
130615267,SERRANO                      AV,RUSSELL                      AV,"(34.1042, -118.3072)"
130615269,HOLLYWOOD                    BL,WILCOX                       AV,"(34.1016, -118.331)"
130615271,HOLLYWOOD                    BL,BRONSON,"(34.1017, -118.318)"
130615275,HOLLYWOOD                    BL,IVAR,"(34.1016, -118.3282)"
130615283,WESTERN                      AV,FRANKLIN,"(34.1054, -118.3093)"
130615299,SUNSET,CAHUENGA,"(34.098, -118.3295)"
130615316,SANTA MONICA                 BL,LODI,"(34.0908, -118.3234)"
130615360,SUNSET                       BL,LA BREA                      AV,"(34.098, -118.3441)"
130615401,HIGHLAND                     AV,HAWTHORN                     AV,"(34.1006, -118.3387)"
130615437,SANTA MONICA                 BL,WESTERN                      AV,"(34.0908, -118.3092)"
130615473,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130615498,SELMA                        AV,WILCOX                       AV,"(34.0998, -118.331)"
130615504,ORANGE                       DR,HOLLYWOOD                    BL,"(34.1016, -118.3414)"
130615653,SUNSET,LA BREA,"(34.098, -118.3441)"
130615678,HOLLYWOOD                    BL,VINE                         ST,"(34.1016, -118.3267)"
130615700,SANTA MONICA,WESTERN,"(34.0908, -118.3092)"
130615735,SANTA MONICA,WESTERN,"(34.0908, -118.3092)"
130615753,JUNE                         ST,FOUNTAIN                     AV,"(34.0944, -118.3342)"
130615812,LAS PALMAS,SANTA MONICA,"(34.0907, -118.3363)"
130615887,LA MIRADA,EL CENTRO,"(34.0935, -118.3266)"
130615911,ROMAINE,WESTERN,"(34.0885, -118.3092)"
130615931,IVAR,HOLLYWOOD                    BL,"(34.1016, -118.3282)"
130615932,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130615961,HOLLYWOOD                    BL,GOWER                        ST,"(34.1017, -118.3224)"
130615977,MELROSE,VINE,"(34.0835, -118.3266)"
130615987,ARGYLE,HOLLYWOOD,"(34.1049, -118.3252)"
130615996,MARTEL,SUNSET,"(34.098, -118.35)"
130616036,HOLLYWOOD,HIGHLAND,"(34.1016, -118.3387)"
130616039,OXFORD,ROMAINE,"(34.0885, -118.3078)"
130616104,DE LONGPRE,LAS PALMAS,"(34.0962, -118.3363)"
130616152,WESTERN                      AV,HOLLYWOOD                    BL,"(34.1017, -118.3093)"
130616160,FOUNTAIN                     AV,COLE                         AV,"(34.0944, -118.3299)"
130616215,SELMA,SUNSET                       BL,"(34.098, -118.3667)"
130616220,SANTA MONICA                 BL,SAINT ANDREWS                PL,"(34.0908, -118.3109)"
130616296,HIGHLAND                     AV,SUNSET                       BL,"(34.098, -118.3387)"
130616306,HOLLYWOOD                    BL,ORANGE,"(34.1016, -118.3414)"
130616307,HOLLYWOOD                    BL,ORANGE,"(34.1016, -118.3414)"
130616343,HIGHLAND,SUNSET,"(34.098, -118.3387)"
130616363,VINE,HOLLYWOOD                    BL,"(34.1016, -118.3267)"
130616364,HIGHLAND                     AV,SANTA MONICA,"(34.0907, -118.3386)"
130616377,WILCOX,HOLLYWOOD,"(34.1016, -118.331)"
130616461,HOLLYWOOD                    BL,YUCCA,"(34.1034, -118.3325)"
130616523,CHEROKEE,HOLLYWOOD,"(34.1016, -118.3348)"
130616558,FULLER,FOUNTAIN,"(34.0944, -118.3496)"
130616578,IVAR,HOLLYWOOD                    BL,"(34.1016, -118.3282)"
130616614,HOLLYWOOD                    BL,HOLLYWOOD                    FY,"(34.1017, -118.3107)"
130616680,SAINT ANDREWS                PL,MELROSE                      AV,"(34.0835, -118.3114)"
130616687,VINE                         ST,HOLLYWOOD                    BL,"(34.1016, -118.3267)"
130616696,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130616697,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130616735,SANTA MONICA                 BL,HIGHLAND                     AV,"(34.0907, -118.3386)"
130616769,WESTERN                      AV,LEXINGTON                    AV,"(34.0929, -118.3092)"
130616770,HOLLYWOOD                    BL,FAIRFAX                      AV,"(34.1014, -118.3616)"
130616796,YUCCA,LA BREA,"(34.1028, -118.3456)"
130616810,HIGHLAND,FRANKLIN,"(34.1042, -118.3375)"
130616823,HOLLYWOOD                    BL,WESTERN,"(34.1017, -118.3093)"
130616841,ROMAINE,SYCAMORE,"(34.0889, -118.3428)"
130616887,WESTERN,SANTA MONICA,"(34.0908, -118.3092)"
130616998,CAHUENGA,HOLLYWOOD                    BL,"(34.1078, -118.3308)"
130617002,HOLLYWOOD                    FY,HIGHLAND                     BL,"(34.1016, -118.3387)"
130617003,FRANKLIN,WILCOX,"(34.1053, -118.331)"
130617024,SUNSET,WILTON,"(34.0981, -118.3136)"
130617087,LAS PALMAS,HOLLYWOOD,"(34.1016, -118.3361)"
130617140,HIGHLAND                     AV,HOLLYWOOD                    BL,"(34.1016, -118.3387)"
130617177,TAFT,HOLLYWOOD                    BL,"(34.1017, -118.3147)"
130617180,SANTA MONICA,VINE                         ST,"(34.0908, -118.3266)"
130617254,SAINT ANDREWS,VIRGINIA,"(34.0918, -118.3109)"
130617306,CAHUENGA                     BL,HOLLYWOOD                    BL,"(34.1016, -118.3295)"
130617334,BRONSON                      AV,SUNSET                       BL,"(34.0981, -118.318)"
130617336,SUNSET,ORANGE,"(34.098, -118.3414)"
130617411,HIGHLAND                     AV,LEXINGTON,"(34.0926, -118.3386)"
130617421,HOLLYWOOD,VINE,"(34.1016, -118.3267)"
130617447,WILTON                       PL,SANTA MONICA                 BL,"(34.0908, -118.3136)"
130617449,WILTON                       PL,SANTA MONICA                 BL,"(34.0908, -118.3136)"
130617512,SUNSET                       BL,WESTERN                      AV,"(34.0981, -118.3092)"
130617513,HARVARD,HOLLYWOOD                    BL,"(34.1018, -118.3044)"
130617519,SUNSET                       BL,HOBART                       AV,"(34.0981, -118.3056)"
130617521,HOLLYWOOD                    BL,WHITLEY,"(34.1016, -118.3333)"
130617538,LAS PALMAS,HOLLYWOOD                    BL,"(34.1016, -118.3361)"
130617561,MELROSE                      AV,HUDSON,"(34.0835, -118.3321)"
130617575,ORANGE,SUNSET,"(34.098, -118.3414)"
130617624,VINE,FOUNTAIN,"(34.0944, -118.3266)"
130617654,SERRANO,ROMAINE,"(34.0885, -118.3065)"
130617655,LEXINGTON,VINE,"(34.0926, -118.3266)"
130617677,LILLIAN                      WY,ELEANOR                      AV,"(34.0898, -118.3277)"
130617680,LAUREL CANYON                BL,KIRKWOOD,"(34.1089, -118.3697)"
130617729,SANTA MONICA                 BL,KINGSLEY                     DR,"(34.0908, -118.3025)"
130617733,FOUNTAIN,FAIRFAX,"(34.0945, -118.3616)"
130617743,HOLLYWOOD                    BL,CHEROKEE,"(34.1016, -118.3348)"
130617774,LAUREL CANYON,SUNSET,"(34.098, -118.3653)"
130617845,DE LONGPRE,VINE,"(34.0962, -118.3266)"
130617867,HIGHLAND                     AV,WILLOUGHBY,"(34.0871, -118.3386)"
130617906,SUNSET                       BL,CASSIL                       PL,"(34.098, -118.3338)"
130617908,LAS PALMAS,HOLLYWOOD,"(34.1016, -118.3361)"
130617974,VINE                         ST,DE LONGPRE,"(34.0962, -118.3267)"
130617975,SELMA,SCHRADER,"(34.0998, -118.3324)"
130617976,SELMA,SCHRADER,"(34.0998, -118.3324)"
130618038,HOLLYWOOD,VINE,"(34.1016, -118.3267)"
130618041,LEXINGTON,SEWARD,"(34.0926, -118.3332)"
130618057,VAN NESS                     AV,SANTA MONICA,"(34.0908, -118.3157)"
130618117,SUNSET,VINE,"(34.098, -118.3267)"
130618129,SELMA,WILCOX,"(34.0998, -118.331)"
130618164,ORANGE,HAWTHORNE,"(34.1006, -118.3417)"
130618166,SYCAMORE,HOLLYWOOD,"(34.1016, -118.3433)"
130618168,HAROLD                       WY,WESTERN                      AV,"(34.0994, -118.3093)"
130618200,HAWTHORN,SYCAMORE,"(34.1004, -118.3433)"
130618337,FOUNTAIN,CAHUENGA,"(34.0944, -118.3288)"
130618338,SANTA MONICA,HIGHLAND                     AV,"(34.0907, -118.3386)"
130618415,SANTA MONICA,MC CADDEN,"(34.0907, -118.3374)"
130618421,SUNSET,HIGHLAND,"(34.098, -118.3387)"
130618520,SUNSET,POINSETTIA,"(34.098, -118.3479)"
130618574,SUNSET                       BL,MC CADDEN,"(34.098, -118.3376)"
130618579,VINE                         AV,YUCCA                        ST,"(34.1038, -118.3267)"
130618582,ARGYLE,FRANKLIN,"(34.1052, -118.3252)"
130618607,EL CENTRO,HOLLYWOOD,"(34.1017, -118.3237)"
130618618,GRACE                        AV,YUCCA                        ST,"(34.1039, -118.3321)"
130618659,FERNWOOD,WESTERN,"(34.0958, -118.3092)"
130618682,WILTON,SUNSET,"(34.0981, -118.3136)"
130618726,GOWER                        ST,HOLLYWOOD                    BL,"(34.1017, -118.3224)"
130618727,GOWER                        ST,HOLLYWOOD                    BL,"(34.1017, -118.3224)"
130618728,HOLLYWOOD                    BL,GOWER,"(34.1017, -118.3224)"
130618753,SUNSET                       BL,WESTERN,"(34.0981, -118.3092)"
130618800,EL CENTRO                    AV,AFTON                        PL,"(34.0953, -118.3237)"
130618837,HIGHLAND                     AV,HOLLYWOOD                    BL,"(34.1016, -118.3387)"
130618898,SUNSET,LA BREA,"(34.098, -118.3441)"
130618917,LEXINGTON,BEACHWOOD,"(34.0926, -118.3212)"
130618927,LELAND,CHEROKEE,"(34.097, -118.3353)"
130618935,SELMA,CAHUENGA                     BL,"(34.0998, -118.3295)"
130618937,SELMA,CAHUENGA                     BL,"(34.0998, -118.3295)"
130619004,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130619053,CAHUENGA,SUNSET                       BL,"(34.098, -118.3295)"
130619088,HAROLD                       WY,WILTON                       PL,"(34.0993, -118.3136)"
130619140,ORANGE,FOUNTAIN,"(34.0944, -118.3415)"
130619141,HIGHLAND,LEXINGTON,"(34.0926, -118.3386)"
130619166,LEMON GROVE                  AV,WESTERN                      AV,"(34.0867, -118.3091)"
130619167,MELROSE,WILTON,"(34.0835, -118.3135)"
130619248,WILCOX,LEXINGTON,"(34.0926, -118.331)"
130619273,SERRANO                      AV,HOLLYWOOD                    BL,"(34.1018, -118.3071)"
130619334,LELAND,VINE,"(34.0971, -118.3267)"
130619336,HIGHLAND                     AV,SUNSET                       BL,"(34.098, -118.3387)"
130619341,HOLLYWOOD                    BL,ORANGE,"(34.1016, -118.3414)"
130619357,SUNSET                       BL,WESTERN                      AV,"(34.0981, -118.3092)"
130619364,STANLEY,FOUNTAIN,"(34.0944, -118.356)"
130619410,FORMOSA,FOUNTAIN                     AV,"(34.0944, -118.3462)"
130619463,SYCAMORE,FRANKLIN,"(34.1041, -118.3433)"
130619476,ARGYLE                       AV,HOLLYWOOD                    BL,"(34.1016, -118.3252)"
130619477,ARGYLE                       AV,HOLLYWOOD                    BL,"(34.1016, -118.3252)"
130619478,SUNSET                       BL,WILCOX                       AV,"(34.098, -118.331)"
130619479,YUCCA,CAHUENGA,"(34.104, -118.3297)"
130619533,CHEROKEE                     ST,SELMA                        AV,"(34.1007, -118.335)"
130619564,ARGYLE                       AV,HOLLYWOOD                    BL,"(34.1037, -118.3252)"
130619573,WESTERN,SUNSET,"(34.0981, -118.3092)"
130619606,SANTA MONICA,WILTON                       PL,"(34.0908, -118.3136)"
130619647,LAS PALMAS,YUCCA,"(34.1032, -118.3361)"
130619676,HOLLYWOOD,SCHRADER,"(34.1016, -118.3325)"
130619690,WILCOX                       AV,MELROSE                      AV,"(34.0835, -118.331)"
130619725,LEXINGTON                    AV,VINE                         ST,"(34.0926, -118.3266)"
130619748,SUNSET,IVAR,"(34.098, -118.3287)"
130619802,HOBART,FOUNTAIN,"(34.0951, -118.3047)"
130619806,IVAR,DE LONGPRE,"(34.0962, -118.3287)"
130619833,VINE,LA MIRADA,"(34.0935, -118.3266)"
130619847,HOLLYWOOD                    BL,CAHUENGA                     BL,"(34.1016, -118.3295)"
130619849,LA BREA,HOLLYWOOD                    BL,"(34.1016, -118.3452)"
130619850,CAHUENGA,SELMA,"(34.0998, -118.3295)"
130619861,HOLLYWOOD                    BL,CAHUENGA,"(34.1016, -118.3295)"
130619866,HOLLYWOOD                    BL,GOWER,"(34.1017, -118.3224)"
130619922,SAINT ANDREWS                PL,CARLTON                      WY,"(34.1005, -118.3115)"
130619930,SANTA MONICA                 BL,SERRANO,"(34.0908, -118.306)"
130619977,WILCOX,HOLLYWOOD,"(34.1016, -118.331)"
130620013,MELROSE,MARATHON,"(34.0865, -118.3169)"
130620021,SUNSET                       BL,LAUREL,"(34.098, -118.3643)"
130620022,WHITLEY,HOLLYWOOD,"(34.1016, -118.3333)"
130620030,MC CADDEN,SANTA MONICA,"(34.0907, -118.3374)"
130620053,VINE,DE LONGPRE,"(34.0962, -118.3267)"
130620078,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130620130,SUNSET,WESTERN,"(34.0981, -118.3092)"
130620134,SANTA MONICA                 BL,HIGHLAND,"(34.0907, -118.3386)"
130620149,HOLLYWOOD,HIGHLAND,"(34.1016, -118.3387)"
130620191,SUNSET,HOBART,"(34.0981, -118.3056)"
130620192,WESTERN,SANTA MONICA,"(34.0908, -118.3092)"
130620247,KINGSLEY,SUNSET,"(34.0981, -118.3032)"
130620395,HOLLYWOOD                    BL,IVAR,"(34.1016, -118.3282)"
130620538,SERRANO                      AV,SUNSET                       BL,"(34.0981, -118.3071)"
130620603,SUNSET,ORANGE,"(34.098, -118.3414)"
130620619,HOLLYWOOD                    BL,CAHUENGA,"(34.1016, -118.3295)"
130620654,HOLLYWOOD                    BL,VINE,"(34.1016, -118.3267)"
130620726,SUNSET                       BL,WESTERN,"(34.0981, -118.3092)"
130620729,HOLLYWOOD                    BL,GOWER                        ST,"(34.1017, -118.3224)"
130620730,HOLLYWOOD                    BL,GOWER                        ST,"(34.1017, -118.3224)"
130620769,VINE                         ST,AFTON                        PL,"(34.0953, -118.3266)"
130620825,LA BREA                      AV,HAWTHORN,"(34.0998, -118.3447)"
130620851,WESTERN                      AV,ROMAINE                      ST,"(34.0885, -118.3092)"
130620908,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130620933,SANTA MONICA                 BL,KINGSLEY,"(34.0908, -118.3025)"
130620956,HOLLYWOOD                    BL,CHEROKEE                     AV,"(34.1016, -118.3348)"
130620977,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130621067,HOLLYWOOD                    BL,CHEROKEE,"(34.1016, -118.3348)"
130621164,WILCOX,LEXINGTON,"(34.0926, -118.331)"
130621169,HOLLYWOOD                    BL,CHEROKEE                     AV,"(34.1016, -118.3348)"
130621170,HOLLYWOOD                    BL,CHEROKEE                     AV,"(34.1016, -118.3348)"
130621175,WILLOUGHBY,MANSFIELD,"(34.0871, -118.3406)"
130621218,LEXINGTON,BRONSON,"(34.0928, -118.3179)"
130621246,FRANKLIN                     AV,WHITLEY                      AV,"(34.1052, -118.3333)"
130621331,WESTERN,LEXINGTON,"(34.0929, -118.3092)"
130621332,HOLLYWOOD,HARVARD,"(34.1018, -118.3044)"
130621390,WESTERN,FRANKLIN,"(34.1054, -118.3093)"
130621431,HOLLYWOOD,WILTON,"(34.1017, -118.3136)"
130621481,CHEROKEE,SUNSET,"(34.098, -118.3353)"
130621489,IVAR,HOLLYWOOD,"(34.1016, -118.3282)"
130621522,SUNSET                       BL,WILTON                       PL,"(34.0981, -118.3136)"
130621536,DETROIT,SUNSET                       BL,"(34.098, -118.3456)"
130621553,HOLLYWOOD,WILCOX,"(34.1016, -118.331)"
130621569,WHITLEY,HOLLYWOOD                    BL,"(34.1016, -118.3333)"
130621585,WHITLEY,HOLLYWOOD,"(34.1016, -118.3333)"
130621615,HIGHLAND,HAWTHORN,"(34.1006, -118.3387)"
130621621,SUNSET                       BL,GOWER                        AV,"(34.098, -118.3223)"
130621622,SUNSET                       BL,GOWER                        AV,"(34.098, -118.3223)"
130621637,HOLLYWOOD,HIGHLAND,"(34.1016, -118.3387)"
130621713,SYCAMORE,HOLLYWOOD,"(34.1016, -118.3433)"
130621860,SUNSET                       BL,WESTERN                      AV,"(34.0981, -118.3092)"
130621883,CARLTON                      WY,WILTON,"(34.1005, -118.3136)"
130621913,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130621962,HIGHLAND                     AV,HOLLYWOOD                    FY,"(34.1016, -118.3387)"
130621963,SUNSET                       BL,GOWER,"(34.098, -118.3223)"
130621967,WILCOX                       AV,SELMA,"(34.0998, -118.331)"
130621968,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130622032,SELMA,CAHUENGA,"(34.0998, -118.3295)"
130622058,LAUREL CANYON,KIRKWOOD,"(34.1089, -118.3697)"
130622080,SANTA MONICA                 BL,ARDMORE,"(34.0908, -118.3012)"
130622151,LEXINGTON                    AV,GOWER                        ST,"(34.0926, -118.3223)"
130622185,WESTERN,FRANKLIN,"(34.1054, -118.3093)"
130622254,LEXINGTON                    AV,LILLIAN                      WY,"(34.0926, -118.3277)"
130622276,WHITLEY,FRANKLIN,"(34.1052, -118.3333)"
130622284,HOLLYWOOD                    BL,VINE                         ST,"(34.1016, -118.3267)"
130622285,VINE                         ST,FOUNTAIN                     AV,"(34.0944, -118.3266)"
130622301,HOLLYWOOD                    BL,WILCOX                       AV,"(34.1016, -118.331)"
130622302,HOLLYWOOD                    BL,WILCOX                       AV,"(34.1016, -118.331)"
130622303,HOLLYWOOD                    BL,WILCOX                       AV,"(34.1016, -118.331)"
130622304,HOLLYWOOD                    BL,WILCOX                       AV,"(34.1016, -118.331)"
130622342,DE LONGPRE,ORANGE,"(34.0962, -118.3415)"
130622354,EL CENTRO,SUNSET                       BL,"(34.098, -118.3237)"
130622392,YUCCA,CAHUENGA,"(34.104, -118.3297)"
130622393,YUCCA,CAHUENGA,"(34.104, -118.3297)"
130622431,HAROLD                       WY,BRONSON                      AV,"(34.0993, -118.318)"
130622432,SANTA MONICA,LAS PALMAS,"(34.0907, -118.3363)"
130622451,SUNSET                       BL,FULLER                       AV,"(34.098, -118.349)"
130622475,SANTA MONICA                 BL,HIGHLAND                     AV,"(34.0907, -118.3386)"
130622480,HOLLYWOOD                    BL,ORANGE                       AV,"(34.1016, -118.3414)"
130622523,HIGHLAND                     AV,FRANKLIN                     AV,"(34.1052, -118.3375)"
130622594,MELROSE,WILTON,"(34.0835, -118.3135)"
130622699,LAUREL CANYON,LOOKOUT MOUNTAIN,"(34.1148, -118.3741)"
130622732,HARVARD,HOLLYWOOD                    BL,"(34.1018, -118.3044)"
130622747,HOLLYWOOD                    BL,LAS PALMAS,"(34.1016, -118.3361)"
130622798,HOLLYWOOD                    BL,IVAR,"(34.1016, -118.3282)"
130622799,HOLLYWOOD                    BL,IVAR,"(34.1016, -118.3282)"
130622801,CAHUENGA,SUNSET                       BL,"(34.098, -118.3295)"
130622803,DOHENY,BLUEBIRD,"(34.0965, -118.392)"
130622804,HOLLYWOOD                    BL,ORANGE                       DR,"(34.1016, -118.3414)"
130622810,GRACE,YUCCA,"(34.1039, -118.3321)"
130622822,FOUNTAIN,VINE,"(34.0944, -118.3266)"
130622838,MC CADDEN                    PL,SANTA MONICA                 BL,"(34.0907, -118.3374)"
130622839,SANTA MONICA                 BL,LAS PALMAS                   AV,"(34.0907, -118.3363)"
130622844,BRONSON                      AV,SUNSET                       BL,"(34.0981, -118.318)"
130622896,VINE,LA MIRADA,"(34.0935, -118.3266)"
130622931,VINE,LEXINGTON,"(34.0926, -118.3266)"
130622990,SYCAMORE,HOLLYWOOD,"(34.1016, -118.3433)"
130623056,WESTERN                      AV,MELROSE,"(34.0835, -118.3091)"
130623077,SUNSET                       BL,VAN NESS                     AV,"(34.0981, -118.3158)"
130623093,SANTA MONICA                 BL,WILTON,"(34.0908, -118.3136)"
130623128,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130623161,CARLTON,SAINT ANDREWS,"(34.1005, -118.3115)"
130623183,GARDNER,HOLLYWOOD                    BL,"(34.1017, -118.3528)"
130623190,FORMOSA,HAWTHORN,"(34.0998, -118.3468)"
130623204,SERRANO                      AV,SUNSET                       BL,"(34.0981, -118.3071)"
130623235,LANEWOOD,ORANGE,"(34.0992, -118.3414)"
130623240,HAWTHORN,HIGHLAND                     AV,"(34.1004, -118.3387)"
130623241,HAWTHORN,SYCAMORE,"(34.1004, -118.3433)"
130623253,HOLLYWOOD                    BL,IVAR                         AV,"(34.1016, -118.3282)"
130623265,SANTA MONICA                 BL,HIGHLAND,"(34.0907, -118.3386)"
130623278,LAS PALMAS,SANTA MONICA,"(34.0907, -118.3363)"
130623311,MANSFIELD                    AV,SANTA MONICA                 BL,"(34.0907, -118.3404)"
130623361,SIERRA BONITA,DE LONGPRE,"(34.0962, -118.3539)"
130623410,SELMA                        AV,VINE                         ST,"(34.0998, -118.3267)"
130623413,HIGHLAND                     AV,SUNSET                       BL,"(34.098, -118.3387)"
130623476,BRONSON,LA MIRADA,"(34.0938, -118.318)"
130623503,SANTA MONICA                 BL,VAN NESS,"(34.0908, -118.3157)"
130623547,HOLLYWOOD                    BL,CAHUENGA                     BL,"(34.1016, -118.3295)"
130623548,VINE,HOLLYWOOD                    BL,"(34.1016, -118.3267)"
130623549,VINE,HOLLYWOOD                    BL,"(34.1016, -118.3267)"
130623554,FOUNTAIN,SERRANO,"(34.095, -118.3068)"
130623561,SELMA,ARGYLE,"(34.0998, -118.3252)"
130623616,FULLER,FRANKLIN,"(34.1035, -118.3489)"
130623623,CAHUENGA                     BL,YUCCA                        ST,"(34.104, -118.3297)"
130623624,HIGHLAND,HOLLYWOOD                    BL,"(34.1016, -118.3387)"
130623734,FOUNTAIN                     AV,VINE                         ST,"(34.0944, -118.3266)"
130623783,SUNSET                       BL,NORMANDIE                    AV,"(34.0981, -118.3005)"
130623795,LEXINGTON                    AV,HIGHLAND                     AV,"(34.0926, -118.3386)"
130623807,LA BREA                      AV,FRANKLIN                     AV,"(34.1037, -118.3459)"
130623856,HOLLYWOOD                    BL,ORANGE,"(34.1016, -118.3414)"
130623862,KINGSLEY,SUNSET                       BL,"(34.0981, -118.3032)"
130623865,WILCOX                       AV,SUNSET                       BL,"(34.098, -118.331)"
130623876,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130623882,SUNSET                       BL,VINE,"(34.098, -118.3267)"
130623959,SANTA MONICA                 BL,VINE                         ST,"(34.0908, -118.3266)"
130623987,WILTON                       PL,LA MIRADA                    AV,"(34.0938, -118.3136)"
130623989,LA CIENEGA,SUNSET,"(34.0944, -118.3763)"
130624000,WILCOX,HOLLYWOOD                    BL,"(34.1016, -118.3311)"
130624039,FOUNTAIN,SEWARD,"(34.0944, -118.3332)"
130624052,HOLLYWOOD,LA BREA,"(34.1016, -118.3452)"
130624061,WILTON,VIRGINIA,"(34.0918, -118.3136)"
130624073,SUNSET                       BL,ORANGE                       AV,"(34.098, -118.3414)"
130624077,SCHRADER,SELMA,"(34.0998, -118.3325)"
130624103,WILTON                       PL,LEXINGTON                    AV,"(34.0928, -118.3136)"
130624192,HOLLYWOOD                    BL,HIGHLAND                     AV,"(34.1016, -118.3387)"
130624206,SANTA MONICA                 BL,WESTERN                      AV,"(34.0908, -118.3092)"
130624214,ARGYLE                       AV,HOLLYWOOD                    BL,"(34.1016, -118.3252)"
130624235,HOLLYWOOD                    BL,VINE                         ST,"(34.1016, -118.3267)"
130624243,SAINT ANDREWS                PL,SUNSET                       BL,"(34.0981, -118.3114)"
130624244,SAINT ANDREWS                PL,SUNSET                       BL,"(34.0981, -118.3114)"
130624276,FRANKLIN,IVAR,"(34.1053, -118.329)"
130624292,SUNSET                       BL,HIGHLAND                     AV,"(34.098, -118.3387)"
130624299,HOLLYWOOD                    BL,LAS PALMAS                   AV,"(34.1016, -118.3361)"
130624300,HOLLYWOOD                    BL,LAS PALMAS                   AV,"(34.1016, -118.3361)"
130624304,SANTA MONICA                 BL,VINE                         ST,"(34.0908, -118.3266)"
130624351,HOLLYWOOD                    BL,TAFT,"(34.1017, -118.3147)"
130624392,CLARK,OZETA                        TR,"(34.0928, -118.3856)"
130624402,WESTERN,HOLLYWOOD,"(34.1042, -118.3093)"
130624429,LEMON GROVE,WESTERN,"(34.0867, -118.3091)"
130624430,LEMON GROVE,WESTERN,"(34.0867, -118.3091)"
130624444,SANTA MONICA                 BL,WESTERN                      AV,"(34.0908, -118.3092)"
130624445,SANTA MONICA                 BL,WESTERN                      AV,"(34.0908, -118.3092)"
130624464,GOWER                        ST,FOUNTAIN                     AV,"(34.0944, -118.3223)"
130624469,WILTON                       PL,VIRGINIA                     AV,"(34.0918, -118.3136)"
130624470,GOWER                        ST,HOLLYWOOD                    FY,"(34.1043, -118.3224)"
130624471,WILTON                       PL,SANTA MONICA                 BL,"(34.0908, -118.3136)"
130624536,SUNSET,IVAR,"(34.098, -118.3287)"
130624541,SUNSET,LA BREA,"(34.098, -118.3441)"
130624626,HOLLYWOOD,VINE,"(34.1016, -118.3267)"
130624675,CURSON,HOLLYWOOD,"(34.1017, -118.355)"
130624731,MELROSE,CAHUENGA,"(34.0835, -118.3288)"
130624742,SELMA,EL CENTRO,"(34.0998, -118.3237)"
130624745,WILTON,FOUNTAIN,"(34.0948, -118.3136)"
130624746,ROMAINE,CITRUS,"(34.0889, -118.3396)"
130624749,SELMA,HIGHLAND,"(34.0997, -118.3387)"
130624750,BRONSON,SANTA MONICA                 BL,"(34.0908, -118.3179)"
130624763,MULHOLLAND,PARKGLEN,"(34.1131, -118.341)"
130624790,SUNSET                       BL,EL CENTRO                    AV,"(34.098, -118.3237)"
130624791,SUNSET                       BL,EL CENTRO                    AV,"(34.098, -118.3237)"
130624792,HOLLYWOOD                    BL,VINE,"(34.1016, -118.3267)"
